,,0
3,141,6.407588347497886e-05
3,147,0.00033564597416394247
5,131,0.0005336859302397084
6,163,0.0007954562772565078
6,144,0.0009091100451853947
4,147,0.0010330828546610733
3,197,0.0013108940806847253
3,107,0.0014768698969902308
3,119,0.0018398087571747214
4,103,0.0023825339955539956
11,112,0.002508973405206173
5,125,0.002715259745131071
4,116,0.003957249764157757
4,131,0.004485417250483154
3,138,0.005039446237975426
6,137,0.005058601412344674
5,119,0.005191768533159649
8,118,0.005501451016930902
6,122,0.005619384585850497
5,122,0.006655473352704246
3,114,0.006968111541492688
3,150,0.0072466140285023534
5,124,0.007847046214460102
6,191,0.00802716829756567
3,106,0.008405723760727506
6,149,0.008853030503397138
5,196,0.009275534161788085
5,192,0.009355889741770452
3,148,0.009764848987658744
4,117,0.009859202522049141
4,189,0.01021375612572617
4,157,0.01021797599782186
6,152,0.010283498024220834
5,123,0.010338874182891023
5,189,0.010425965768952052
3,111,0.010578307341807425
6,110,0.010623391976050993
5,184,0.011313255964172795
4,133,0.011519810236582304
4,125,0.011705080068257146
5,104,0.012024652568871773
6,123,0.012297950943754394
3,126,0.012524721003140692
8,124,0.012621677809460346
5,113,0.012640325011889475
6,190,0.01271880824941352
5,144,0.012921444359388747
6,176,0.013075203526684582
3,140,0.013499136611838478
6,164,0.013721200523796242
5,109,0.014403769613964407
5,187,0.01456037381727773
11,103,0.016355786144455525
3,177,0.01725321064008581
6,183,0.01773815544467746
6,127,0.018126642810695835
6,102,0.018400215758106395
5,171,0.018421531987513392
6,142,0.01842689322431524
3,170,0.01854703627228468
3,151,0.018618696846258442
6,189,0.018682869633118843
3,117,0.01878356468712814
6,121,0.01879218216331821
6,118,0.019013866895381034
6,188,0.019296227940248805
6,101,0.020206076452164
6,175,0.020304951214793348
5,180,0.020368794296593547
8,142,0.020576821780751157
8,168,0.020987421532101345
5,152,0.021004246758473722
3,100,0.021324818595458223
6,145,0.021652732017340394
5,137,0.021970270044749156
6,146,0.022122216196509337
5,117,0.02285621060279444
6,134,0.02330958571639201
6,171,0.023345166403161078
6,180,0.023432211097991814
5,170,0.02364634504947878
3,172,0.023799314976598065
6,192,0.024190623529216436
6,166,0.024538298464101105
5,163,0.02455079538794727
6,199,0.02480913269516615
3,113,0.025130266386808327
6,143,0.025774879683325327
4,172,0.026455031127773115
8,187,0.0266044439130701
6,182,0.026614577563621504
5,127,0.026616507245039823
5,198,0.026785127167090587
4,124,0.02698205006362746
4,142,0.02725857948023363
5,173,0.027845908096236105
4,137,0.028394523321987566
6,158,0.029456678859202685
5,149,0.029490787461771913
1,120,0.02986431052253053
3,142,0.029912757243085356
4,192,0.030132192581618117
3,131,0.0306600522007598
6,156,0.030941803924601514
1,100,0.031138393124176187
6,184,0.03136456700834177
3,192,0.03188002746446598
6,179,0.03211377647337305
6,147,0.03229031813975246
5,179,0.03334417073442391
4,152,0.033365606851995674
5,143,0.033882600111076897
3,133,0.0343442858867136
3,189,0.03465468509061492
5,183,0.03507374060217318
6,135,0.03532863970060231
4,170,0.035559017153535585
3,128,0.03576096970159731
5,103,0.03610866356933215
6,173,0.03612878507748875
6,117,0.036479214328231806
6,181,0.03671869293547388
1,148,0.037119645041078966
3,165,0.037199094944532024
11,125,0.037339592734702366
6,168,0.03741031088808414
4,118,0.03741860836462328
5,190,0.03802992965802014
5,133,0.038208895658947445
6,187,0.038506930391744784
5,121,0.03878302263999393
8,196,0.03937458830726811
5,157,0.039480688837456875
4,119,0.0395902963401947
6,120,0.039608413769121976
11,109,0.039713215067676055
6,124,0.039857198352828714
3,130,0.04061179624181567
1,140,0.04076507462226163
4,180,0.04095819604013969
3,184,0.04103800911914119
4,151,0.04111884269498863
8,189,0.041143335977279
6,198,0.04126237338600991
6,178,0.041707083756658665
3,174,0.041809679071416014
5,147,0.04205461932593407
5,111,0.042128401652115705
6,161,0.04217926681305829
3,162,0.04228396881633502
4,150,0.042744780121259915
3,112,0.04342235112032947
6,186,0.04345828052807047
5,129,0.043485390035637596
6,162,0.04353132014380185
5,142,0.04374183250806642
1,106,0.043831036047603376
4,171,0.04429249220051709
5,162,0.04443732199403978
6,193,0.04471210213447452
6,136,0.04483840498615134
5,175,0.04488439004315105
8,109,0.04506550497622964
8,152,0.04507847972082024
4,123,0.04524410243831434
5,199,0.04617614104278641
3,160,0.04625755748434111
4,163,0.04633828182336984
3,105,0.04650800259187182
5,120,0.04694869101489701
3,132,0.04715479719320192
6,196,0.04736473000621904
6,108,0.04738257213131901
3,179,0.04768307358268045
3,129,0.04776650414834583
3,139,0.048038039883662426
4,199,0.04820152145670583
5,118,0.04831226603200259
8,163,0.04846245999400737
6,129,0.048525591643342775
5,126,0.04855717617655994
11,116,0.04862294560345011
3,108,0.048628997121343165
4,113,0.04863695268415334
6,169,0.04868159919583871
4,184,0.04874245097245828
11,157,0.04890202756667152
3,120,0.04925348177661252
0,148,0.049461362002979334
6,195,0.04947499445182121
4,179,0.04948568292033491
2,148,0.04948870784494285
8,104,0.04970680611361984
4,162,0.049811547633780866
8,122,0.05001584077143806
6,159,0.05027672864525142
4,122,0.05035180861380559
