MR,FI,N_EST,MAX_FEATURES,BOOTSTRAPPING,AUPRC,AUROC,MEAN_AUROC,STD_AUROC,MEAN_AUPRC,STD_AUPRC,p-value,BOOSTING
5,VR,500,sqrt,False,0.1291837844368511,0.6858520569110924,0.692168043968746,0.1236925325624475,0.2213651319142203,0.1398628017468152,3.2974224853158984e-44,Adaboostexponential
5,VR,500,100,False,0.1333413394773893,0.6827803171741883,0.6876767647404217,0.1171762553279575,0.228031080048097,0.1447638083788075,7.946222506321983e-43,Adaboostexponential
5,VR,1000,sqrt,False,0.1315110213556337,0.6871083070452156,0.6928408578961143,0.124096572278102,0.2223727779018416,0.1355170246647466,8.839250653113566e-45,Adaboostexponential
5,VR,1000,100,False,0.1329492554377216,0.6836176741990171,0.6891998162473918,0.1203112096679232,0.2296277576013292,0.145703378299531,3.3549878900117613e-43,Adaboostexponential
5,VR,2000,sqrt,False,0.1327783980231278,0.6877452305843472,0.6932419768440641,0.1239857663853659,0.222571042811711,0.1379805745314371,4.519336405998663e-45,Adaboostexponential
5,VR,2000,100,False,0.1327177614879316,0.6833856949719951,0.6901450504351517,0.1228678097048107,0.228874348196049,0.1456280530114898,4.2618947545173604e-43,Adaboostexponential
40,VR,500,sqrt,False,0.4437232581485381,0.823018559715235,0.8345870016546161,0.1042215243889364,0.5117274984502831,0.1596449026176025,2.316165855169036e-133,Adaboostexponential
40,VR,500,100,False,0.4661223209502034,0.8396865041842312,0.8498464871719072,0.0973451615587507,0.529843615782283,0.1716914824665507,3.0988245065292814e-147,Adaboostexponential
40,VR,1000,sqrt,False,0.4486796550619663,0.8257792360653577,0.8376099834221625,0.1014946789193745,0.5182998875559409,0.1617697211985866,1.3031342848372374e-135,Adaboostexponential
40,VR,1000,100,False,0.4673980713337712,0.8421074721101461,0.8527894610000079,0.1003985190072164,0.5356877861121531,0.174463589905698,2.619624052318522e-149,Adaboostexponential
40,VR,2000,sqrt,False,0.4469959100502352,0.8287701246075434,0.8405002627809237,0.1006111002565479,0.5202227357213328,0.1591108543222375,4.529631360011409e-138,Adaboostexponential
40,VR,2000,100,False,0.4688169424925552,0.8422921820729111,0.8531803030513012,0.1005174792116549,0.5367973422036976,0.1701474550466172,1.8175153119636322e-149,Adaboostexponential
100,VR,500,sqrt,False,0.6702768662500166,0.8975628508788687,0.9068268411350824,0.0845956705831434,0.7153730749177203,0.1538512349240465,2.1923085885650486e-193,Adaboostexponential
100,VR,500,100,False,0.701646304717117,0.907995780549733,0.916530991824259,0.0829928413427163,0.7439293618096704,0.1452068292926279,1.530772951176325e-203,Adaboostexponential
100,VR,1000,sqrt,False,0.6715801858546447,0.8975732117143925,0.9058563886990142,0.0850573910026399,0.7194645596602168,0.1539465244892736,2.1426245616156314e-193,Adaboostexponential
100,VR,1000,100,False,0.7022849140918054,0.9090528016238882,0.9173166432688472,0.0820909879468303,0.7435858960981513,0.1456090184090762,1.3845344257417417e-204,Adaboostexponential
100,VR,2000,sqrt,False,0.6728087401882235,0.9008297518299284,0.9089128001467996,0.08158581823078,0.7220414550089558,0.1499563452994957,1.5450662240863034e-196,Adaboostexponential
100,VR,2000,100,False,0.7025633195876545,0.911071437745085,0.9188463177037334,0.08065629319882164,0.7447399856178686,0.14606569384260384,1.3829250190269025e-206,Adaboostexponential
