,MR,FI,N_EST,MAX_FEATURES,BOOTSTRAPPING,AUPRC,AUROC,MEAN_AUROC,STD_AUROC,MEAN_AUPRC,STD_AUPRC,pvalue,BOOSTING,Index
0,5,VR,500,sqrt,True,0.1309923281683698,0.6814131204532287,0.685655328692637,0.1278081556328233,0.2126868142770157,0.1366075020157126,3.22059917354809e-42,No,"Feature Bagging 
& Bootstrapping"
1,5,SHAP,500,sqrt,True,0.1302620231039551,0.6926045623296637,0.70041881077162,0.1218579740555992,0.2208317899312792,0.1349528472375299,2.5122056195413154e-47,No,"Feature Bagging 
& Bootstrapping"
2,5,VR,500,sqrt,False,0.1270796552887866,0.6830504946458078,0.6870022637011046,0.1241771079300355,0.2150881233720226,0.135699729019017,6.0189571804429174e-43,No,Feature Bagging
3,5,SHAP,500,sqrt,False,0.1284900121553243,0.6948419493980558,0.7011710461940213,0.1194499969249375,0.2188662703046899,0.139335618636667,2.2008335336998744e-48,No,Feature Bagging
4,5,VR,500,100,True,0.1226244479932134,0.6729283890212236,0.678361885605176,0.1284611595016656,0.2170324049529104,0.1433362896641833,1.5094226074981732e-38,No,Bootstrapping
5,5,SHAP,500,100,True,0.1226939279731031,0.6834346230605807,0.6907512342740271,0.1245149122224789,0.2162899559608357,0.1439955842480916,4.0522562829959766e-43,No,Bootstrapping
8,5,VR,1000,sqrt,True,0.1338043245606584,0.680630271035859,0.6842033029307928,0.1255097176885212,0.217748664033618,0.1360103670975946,7.143532595305439e-42,No,"Feature Bagging 
& Bootstrapping"
9,5,SHAP,1000,sqrt,True,0.1328794989137361,0.6929668018627009,0.6997181313816527,0.1222738756339316,0.2204196633932111,0.1354818098518041,1.6969493802973355e-47,No,"Feature Bagging 
& Bootstrapping"
10,5,VR,1000,sqrt,False,0.1308890583044302,0.6836352711431577,0.6895465613645038,0.1214349563009672,0.217903035785906,0.1356644412842365,3.294605003445332e-43,No,Feature Bagging
11,5,SHAP,1000,sqrt,False,0.1301803043576091,0.6958473357797378,0.7027477206428814,0.1180227488291239,0.2205685236330226,0.1343085328581723,7.302406130239907e-49,No,Feature Bagging
